Player,Team,Pos,Current ADP
Justin Jefferson,MIN,WR,1
Christian McCaffrey,SF,RB,2.3
Austin Ekeler,LAC,RB,3.3
Ja'Marr Chase,CIN,WR,3.5
Cooper Kupp,LAR,WR,5.5
Travis Kelce,KC,TE,6.3
Tyreek Hill,MIA,WR,7
Saquon Barkley,NYG,RB,8
Bijan Robinson,ATL,RB,8.5
Stefon Diggs,BUF,WR,10.8
CeeDee Lamb,DAL,WR,12.8
Davante Adams,LV,WR,13.8
Jonathan Taylor,IND,RB,14
Nick Chubb,CLE,RB,14.5
A.J. Brown,PHI,WR,14.8
Patrick Mahomes II,KC,QB,15.5
Derrick Henry,TEN,RB,16.5
Josh Jacobs,LV,RB,18.3
Amon-Ra St. Brown,DET,WR,18.8
Tony Pollard,DAL,RB,19
Garrett Wilson,NYJ,WR,19.3
Josh Allen,BUF,QB,20.8
Jaylen Waddle,MIA,WR,23.8
Jalen Hurts,PHI,QB,24
Mark Andrews,BAL,TE,27.8
DeVonta Smith,PHI,WR,28
Rhamondre Stevenson,NE,RB,28.5
Breece Hall,NYJ,RB,29.3
Najee Harris,PIT,RB,29.8
Travis Etienne Jr.,JAC,RB,30.3
Tee Higgins,CIN,WR,30.5
Chris Olave,NO,WR,31
DK Metcalf,SEA,WR,32
Jahmyr Gibbs,DET,RB,35.8
Joe Burrow,CIN,QB,35.8
Joe Mixon,CIN,RB,36
Lamar Jackson,BAL,QB,36
Deebo Samuel,SF,WR,38.3
Aaron Jones,GB,RB,39
Calvin Ridley,JAC,WR,41.5
Amari Cooper,CLE,WR,42.8
Kenneth Walker III,SEA,RB,43.8
T.J. Hockenson,MIN,TE,44.3
Keenan Allen,LAC,WR,45.3
Justin Fields,CHI,QB,46.3
Justin Herbert,LAC,QB,46.5
Miles Sanders,CAR,RB,47
George Kittle,SF,TE,48
Dameon Pierce,HOU,RB,48.3
Terry McLaurin,WAS,WR,50.3
DeAndre Hopkins,TEN,WR,50.5
DJ Moore,CHI,WR,53.5
